"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713842213' - u.lastaccess > e.customint2                        ",1907,1907,0,247388,275,1907
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713835910' - u.lastaccess > e.customint2                        ",1907,1907,0,247575,281,1907
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713853909' - u.lastaccess > e.customint2                        ",1907,1906,1,247449,279,1907
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713821513' - u.lastaccess > e.customint2                        ",1905,1905,0,247452,283,1905
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713827814' - u.lastaccess > e.customint2                        ",1904,1904,0,247479,284,1904
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713844009' - u.lastaccess > e.customint2                        ",1904,1904,0,247475,280,1904
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713832309' - u.lastaccess > e.customint2                        ",1904,1904,0,247473,276,1904
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713853013' - u.lastaccess > e.customint2                        ",1903,1903,0,247438,272,1903
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713817914' - u.lastaccess > e.customint2                        ",1903,1903,0,247476,275,1903
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713846713' - u.lastaccess > e.customint2                        ",1902,1901,1,247448,274,1902
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713830509' - u.lastaccess > e.customint2                        ",1900,1899,1,247561,283,1900
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713834110' - u.lastaccess > e.customint2                        ",1899,1899,0,247473,284,1899
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713829613' - u.lastaccess > e.customint2                        ",1898,1898,0,247570,282,1898
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713851209' - u.lastaccess > e.customint2                        ",1898,1897,1,247521,285,1898
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713822409' - u.lastaccess > e.customint2                        ",1898,1897,1,247483,279,1898
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713843114' - u.lastaccess > e.customint2                        ",1897,1896,1,247553,286,1897
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713849409' - u.lastaccess > e.customint2                        ",1896,1896,0,247339,268,1896
