SELECT * FROM EISTHPOST.dbo.Stag_1LatLong;,387269,875394,-488125,19789745,0,387269
SELECT * FROM Stag_1LatLong,248243,346809,-98566,19788397,0,248243
SELECT [รหัสที่ทำการ]as col1, [ทีทำการนำจ่าย (DB)]as col2, โซน as col3, [ด้าน] as col4,
ระวาง as col5, [จุดนำจ่าย] as col6, [เลขที่บ้านเดิม] as col7, 
[เลขที่บ้านใหม่] as col8
FROM EISTHPOST.dbo.Stag_1LatLong;,186011,182980,3031,529075,0,186011
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>28612311 order by Numberno  SET NO_BROWSETABLE OFF;,78282,355991,-277709,556160,1,78282
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>12655905 order by Numberno  SET NO_BROWSETABLE OFF;,78010,496307,-418297,637003,0,78010
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>13414051 order by Numberno  SET NO_BROWSETABLE OFF;,77458,490702,-413244,628081,0,77458
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>12997759 order by Numberno  SET NO_BROWSETABLE OFF;,77455,491723,-414268,631560,0,77455
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>29164030 order by Numberno  SET NO_BROWSETABLE OFF;,77383,350877,-273494,552565,3,77383
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>29688506 order by Numberno  SET NO_BROWSETABLE OFF;,76575,347361,-270786,549818,6,76575
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>31874062 order by Numberno  SET NO_BROWSETABLE OFF;,76004,344507,-268503,546664,0,76004
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>31978060 order by Numberno  SET NO_BROWSETABLE OFF;,75269,342153,-266884,542985,0,75269
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>32112306 order by Numberno  SET NO_BROWSETABLE OFF;,74986,341703,-266717,539724,1,74986
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>32332514 order by Numberno  SET NO_BROWSETABLE OFF;,74135,334301,-260166,534037,2,74135
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>32212640 order by Numberno  SET NO_BROWSETABLE OFF;,74079,334817,-260738,537044,0,74079
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>32589674 order by Numberno  SET NO_BROWSETABLE OFF;,73735,332113,-258378,527423,0,73735
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>32443908 order by Numberno  SET NO_BROWSETABLE OFF;,73252,330096,-256844,530117,2,73252
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>33263348 order by Numberno  SET NO_BROWSETABLE OFF;,72659,326536,-253877,524229,0,72659
