master,master,Data File(s),5,C:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\DATA\master.mdf
master,mastlog,Log File(s),2,C:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\DATA\mastlog.ldf
MDW_STAKEHD,MDW_STAKEHD,Data File(s),9529,O:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\Data\MDW_STAKEHD.mdf
MDW_STAKEHD,MDW_STAKEHD_log,Log File(s),140,N:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\Data\MDW_STAKEHD_log.ldf
model,modeldev,Data File(s),8,C:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\DATA\model.mdf
model,modellog,Log File(s),8,C:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\DATA\modellog.ldf
msdb,MSDBData,Data File(s),36,C:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\DATA\MSDBData.mdf
msdb,MSDBLog,Log File(s),42,C:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\DATA\MSDBLog.ldf
StakeholderProfile,StakeholderProfile,Data File(s),117,O:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\Data\StakeholderProfile.mdf
StakeholderProfile,StakeholderProfile_log,Log File(s),20,N:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\Data\StakeholderProfile_log.ldf
StakeSOD,StakeSOD,Data File(s),5,O:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\Data\StakeSOD.mdf
StakeSOD,StakeSOD_log,Log File(s),3,N:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\Data\StakeSOD_log.ldf
StakeSTO,StakeSTO,Data File(s),6,O:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\Data\StakeSTO.mdf
StakeSTO,StakeSTO_log,Log File(s),3,N:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\Data\StakeSTO_log.ldf
StakeSTO_DEV,StakeSTO,Data File(s),5,O:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\Data\StakeSTO_DEV.mdf
StakeSTO_DEV,StakeSTO_log,Log File(s),19,N:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\Data\StakeSTO_DEV_log.ldf
Svdms,Svdms,Data File(s),5,O:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\Data\Svdms.mdf
Svdms,Svdms_log,Log File(s),3,N:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\Data\Svdms_log.ldf
SVDMS_LOG,SVDMS_LOG,Data File(s),4,O:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\Data\SVDMS_LOG.mdf
SVDMS_LOG,SVDMS_LOG_log,Log File(s),3,N:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\Data\SVDMS_LOG_log.ldf
SVDMS_REPORT,SVDMS_REPORT,Data File(s),4,O:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\Data\SVDMS_REPORT.mdf
SVDMS_REPORT,SVDMS_REPORT_log,Log File(s),3,N:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\Data\SVDMS_REPORT_log.ldf
tempdb,tempdev,Data File(s),8,C:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\DATA\tempdb.mdf
tempdb,temp2,Data File(s),8,C:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\DATA\tempdb_mssql_2.ndf
tempdb,temp3,Data File(s),8,C:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\DATA\tempdb_mssql_3.ndf
tempdb,temp4,Data File(s),8,C:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\DATA\tempdb_mssql_4.ndf
tempdb,temp5,Data File(s),8,C:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\DATA\tempdb_mssql_5.ndf
tempdb,temp6,Data File(s),8,C:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\DATA\tempdb_mssql_6.ndf
tempdb,temp7,Data File(s),8,C:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\DATA\tempdb_mssql_7.ndf
tempdb,temp8,Data File(s),8,C:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\DATA\tempdb_mssql_8.ndf
tempdb,templog,Log File(s),8,C:\Program Files\Microsoft SQL Server\MSSQL16.STAKEHD\MSSQL\DATA\templog.ldf
