9,ManageWarehouse,ONLINE,SIMPLE,42360.00,41600.00,19209.00,760.00,25.02,2024-04-22 20:22:10.000,19370.75,NULL,NULL
4,msdb,ONLINE,SIMPLE,523.00,508.31,491.75,14.69,6.80,2024-04-22 20:06:04.000,492.12,NULL,NULL
5,ASPState,ONLINE,FULL,470.81,470.25,162.81,0.56,0.25,2024-04-22 20:06:25.000,164.07,2024-04-23 11:00:07.000,0.01
6,GewinnGICS,ONLINE,FULL,366.00,349.00,15.63,17.00,2.29,2024-04-22 20:06:27.000,16.08,2024-04-23 11:00:07.000,0.01
7,GewinnGRMS,ONLINE,FULL,182.00,181.00,25.63,1.00,0.31,2024-04-22 20:06:31.000,26.08,2024-04-23 11:00:07.000,0.01
3,model,ONLINE,FULL,40.63,2.25,1.44,38.38,35.01,2024-04-22 20:05:06.000,1.60,NULL,NULL
8,GewinnPortal,ONLINE,FULL,18.00,17.00,12.00,1.00,0.31,2024-04-22 20:06:32.000,12.08,2024-04-23 11:00:07.000,0.01
2,tempdb,ONLINE,SIMPLE,8.50,8.00,5.44,0.50,39.90,NULL,NULL,NULL,NULL
1,master,ONLINE,SIMPLE,5.25,4.00,2.94,1.25,0.35,2024-04-22 20:05:05.000,3.01,NULL,NULL
